# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Oct 09 15:54:19 BST 2024 [seed=1728485658784]
# -threads 4 H1avN2_HA_srd06_ur_cs_50m.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
3640000	-8046.330000495939	-2141.802275708117	-5904.527724787822	4.05217803900317	2018.9422664054368	82.11558433695375	9.790420330191214	12.285050129255765	7.875182702212248	0.34269264280372436	0.18554440075568496	0.21194393466178804	0.2598190217787999	0.4037902147006091	0.03737242305852937	0.7805030624732988	0.21949693752670438	1.1707545937099482	0.6584908125801131	0.003334339027301141	0.0025713177521571907	0.0032783374561304378	0.7478775295892344	0.1348414183805843	-5904.527724787822	-1657.6121102623383	-481.55861461449365
3660000	-8074.683216319772	-2144.2780610342475	-5930.405155285525	4.622585370912228	2018.3718590735277	84.94114148165418	10.239741710328655	12.009914272956575	8.554515429198531	0.35099756525427983	0.18404211109249113	0.2109967506979655	0.2539635729552608	0.5007816438829971	0.324451716636569	0.7575190808728718	0.24248091912713146	1.1362786213093077	0.7274427573813944	0.003315425363726096	0.0014930397659773018	0.003258350565248688	0.445796580753378	0.07124815758452938	-5930.405155285525	-1657.6121102623383	-483.13965535431436
3680000	-8078.88723414294	-2138.976002690135	-5939.911231452805	4.270695301591079	2018.7237491428489	81.75194436141375	8.540092477177629	11.17287767772474	13.900845123339591	0.3588881082351829	0.17475041661800297	0.20193480880169587	0.2644266663451154	0.7404105416251366	0.09368618759422687	0.7649616683507899	0.2350383316492134	1.147442502526185	0.7051149949476402	0.0031224714775698152	0.0018423287634979797	0.0031812009868788698	0.5569023130769617	-0.035045857839191515	-5939.911231452805	-1657.6121102623383	-477.2596525832126
3700000	-8043.659004288757	-2106.7028289093496	-5936.956175379408	4.462306128126123	2018.5321383163139	74.71729126317199	8.59166010491867	10.10936283115506	9.250919907126306	0.37572462002734475	0.17948876475456854	0.19546359914291067	0.24932301607517315	0.9088418024297864	0.1730186127831905	0.7717791488325338	0.22822085116746949	1.1576687232488008	0.6846625535024085	0.0039320209188285615	0.0030243073003599482	0.0038243646029631566	0.747922443751807	0.0458045693589787	-5936.956175379408	-1657.6121102623383	-445.2494103818617
3720000	-8020.091614941928	-2118.558628095327	-5901.532986846601	3.8755715850264707	2019.1188728594136	74.34347871684633	8.29289553884452	11.018791108425603	6.0887711559439675	0.34433134128063175	0.18487942640148775	0.21095999159866322	0.2598292407192145	0.4771529985228032	0.27274679675402524	0.769543309720784	0.23045669027921953	1.154314964581176	0.6913700708376586	0.003628911069985718	0.0032280281293168176	0.0038820334752335465	0.8497297539730075	-0.04134957717218936	-5901.532986846601	-1657.6121102623383	-458.39473970840623
3740000	-8060.424013746635	-2126.3014606115566	-5934.122553135078	4.586628163486524	2018.4078162809535	79.3713280298633	8.57349682139779	10.966702545296837	11.500331445542052	0.3786760802348476	0.17254703621020617	0.20496355021545162	0.2438133333394919	0.5667336645760948	0.163583218168569	0.7451058342753274	0.2548941657246761	1.117658751412991	0.7646824971740283	0.0032937038246207127	0.003204316394749135	0.00324007287177836	0.895458765657153	-0.034594691632079774	-5934.122553135078	-1657.6121102623383	-465.14849003822934
3760000	-8041.025076755841	-2129.2286594219486	-5911.796417333892	4.489738776055362	2018.5047056683845	80.46539048741218	8.746226724000893	9.228244696719853	7.9543959724991655	0.3525223205245546	0.1849683305390331	0.21389913293579788	0.24861021600061162	0.4582086934868475	0.15593520122480417	0.7373798007358268	0.2626201992641765	1.1060697011037401	0.7878605977925295	0.0034959920791937183	0.0030490774807044813	0.0032091519372444365	0.7591069108231557	-0.017947201449183516	-5911.796417333892	-1657.6121102623383	-469.2283271355632
3780000	-8062.841948727871	-2146.935850474032	-5915.9060982538385	4.673306743948706	2018.3211377004914	83.69460938864621	10.351687445935735	10.600431586352586	8.067221076257429	0.3705889072497973	0.18301704617149125	0.2047683935506308	0.24162565302807779	0.5785544924464109	0.1181873010900716	0.7413365870993308	0.25866341290067196	1.1120048806489962	0.7759902387020159	0.0031909164098093074	0.0016746939984247581	0.003411614617104203	0.5700034780784798	0.05347635077719754	-5915.9060982538385	-1657.6121102623383	-486.40844840489734
3800000	-8084.780241350582	-2163.3389730880817	-5921.441268262501	5.975664124180093	2017.0187803202598	95.00632371139382	10.564222312922553	11.114255716492341	11.160221778048774	0.3785589426062333	0.16572999699694144	0.20112334791999917	0.25458771247682344	0.43617024706578195	0.12392358323971989	0.7549586811255754	0.24504131887442734	1.1324380216883632	0.735123956623282	0.002785286146356065	0.0018257125339682938	0.0028277924086855225	0.6449263058976917	0.015423580252668042	-5921.441268262501	-1657.6121102623383	-502.5244176925426
3820000	-7995.018787046123	-2099.8123861478857	-5895.206400898238	4.320603901410452	2018.6738405430294	71.52695326211328	8.530395035165215	11.523178047010138	9.645044718632988	0.38086493437988383	0.17298794334644838	0.18310083624277315	0.26304628603089203	0.4820987248220894	0.16616734431657937	0.7813442940221997	0.2186557059778033	1.1720164410332996	0.6559671179334099	0.003924376287566671	0.003175272599778687	0.0036928114866431054	0.8225916497470173	0.04571999100993396	-5895.206400898238	-1657.6121102623383	-438.9037082408333
