# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Oct 09 15:51:42 BST 2024 [seed=1728485501363]
# -threads 4 H1avN2_HA_srd06_sc_cs_50m.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
980000	-6445.078066468843	-477.4114759615984	-5967.666590507244	4.24767868096937	2018.7467657634706	78.56703742938689	9.559023062018602	10.384658553233916	10.551295316819362	0.33418390085203564	0.17038153386105653	0.21977965573243252	0.2756549095544747	0.4062787700095268	0.19541153795631017	0.7510665052139729	0.24893349478602375	1.1265997578209594	0.7468004843580712	0.003535169692387873	0.003535169692387874	-5967.666590507244	0.0	-473.13879562984806
1000000	-6431.649269043319	-450.5145964506296	-5981.13467259269	3.6961551576108147	2019.2982892868292	71.49869682891979	7.352925584282974	9.133799844372529	12.322171304265662	0.37748303365215263	0.17335193473833085	0.19666690962837505	0.25249812198114097	0.6257251660161112	0.21703422142120526	0.7621503874942235	0.23784961250577275	1.1432255812413352	0.7135488375173182	0.003682440094457366	0.0036824400944573624	-5981.13467259269	0.0	-445.90472818823974
1020000	-6435.744489783984	-472.88394904640904	-5962.860540737575	3.9240027315467927	2019.0704417128932	74.00826957195552	9.491101848362588	11.706435441530319	11.923094662719024	0.3529118466090251	0.17311942717740422	0.21819354445199096	0.25577518176157926	0.5727519262705859	0.1099090469036646	0.7394847067971246	0.2605152932028715	1.1092270601956868	0.7815458796086144	0.0036434200604417676	0.0036434200604417654	-5962.860540737575	0.0	-467.9593145418978
1040000	-6404.249470708694	-446.2962932189554	-5957.953177489739	3.3523211135440207	2019.6421233308959	67.54940791948586	7.4893706267811915	10.739902724758425	9.519433336119837	0.3778629217508366	0.17377577227416457	0.20956477873997828	0.23879652723502007	0.5324454556624539	0.12887003615885959	0.7259428551661186	0.2740571448338782	1.0889142827491778	0.8221714345016347	0.0037836541830934996	0.0037836541830935	-5957.953177489739	0.0	-442.1870171247364
1060000	-6399.100543819291	-455.4008889929982	-5943.699654826292	3.616380946070053	2019.37806349837	69.9439152360953	8.84194296542904	12.568238771171197	10.808647665236478	0.3776399042269134	0.17811287668072975	0.20903908508773122	0.23520813400462512	0.37298429370320346	0.1725862666232119	0.7565238900048978	0.24347610999509844	1.1347858350073468	0.7304283299852954	0.0039458490004614395	0.0039458490004614455	-5943.699654826292	0.0	-450.79569978853783
1080000	-6420.792210382572	-469.51305884581205	-5951.27915153676	3.8903748424201154	2019.1040696020198	72.61200632519379	8.421627215332723	12.529067157186901	7.646998434913516	0.35180928171219145	0.1897948477624858	0.20587939870222205	0.25251647182310005	0.5873998216911116	0.260403993721898	0.745126602852866	0.2548733971471302	1.117689904279299	0.7646201914413906	0.0033136403368374157	0.003313640336837419	-5951.27915153676	0.0	-465.11309907144454
1100000	-6428.878814001584	-461.97344587919576	-5966.905368122389	4.0912580925093796	2018.9031863519306	71.92704974402967	7.977105485623094	12.117047740634542	9.795972559856498	0.36132011910956335	0.16656250805628073	0.2085140292070274	0.2636033436271278	0.4961893360376591	0.2031657667966131	0.7650160566363293	0.23498394336366704	1.1475240849544939	0.7049518300910012	0.0036782123655492737	0.0036782123655492737	-5966.905368122389	0.0	-457.47828523245664
1120000	-6419.884351599309	-463.9463339147486	-5955.938017684561	3.8829898320273615	2019.1114546124127	72.97414140730949	8.333425654142005	10.353959573750265	13.193883190495825	0.38233503290839715	0.1693724843431134	0.20391345588048998	0.24437902686799867	0.4716668994874293	0.22676662314993684	0.7254747322762873	0.27452526772370855	1.088212098414431	0.8235758031711257	0.0038573122371149703	0.003857312237114969	-5955.938017684561	0.0	-459.1051190176594
1140000	-6426.332313404704	-466.4683218660457	-5959.863991538658	3.7545854029997656	2019.2398590414402	72.61037849670224	7.098012134757685	14.039283179069454	7.347895037117691	0.36868055673879935	0.1861613753500763	0.19945975938667426	0.2456983085244494	0.5087179673782134	0.2897743349060844	0.7241761679723459	0.27582383202765015	1.0862642519585188	0.8274714960829505	0.0036701772895384142	0.0036701772895384194	-5959.863991538658	0.0	-462.09753307608077
1160000	-6399.663932198477	-446.10121123751986	-5953.5627209609565	3.650416130419715	2019.3440283140203	69.92670122223876	7.474341777574578	11.592578294304024	6.887108679252907	0.36290816862070263	0.1910899110328138	0.20435059052084018	0.2416513298256427	0.6921276871239718	0.2943695670778058	0.7708360079598429	0.22916399204015256	1.1562540119397644	0.6874919761204576	0.003912315252399581	0.003912315252399585	-5953.5627209609565	0.0	-441.7305110234071
